2010,,,,,,,,,,,,,
,収集運搬部門費,中間処理部門費,最終処分部門費,,,,,,取扱量（単位：ｔ／年）,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1683637200 ,6225737019,741356722,0,488940109,9139671050,,,可燃ごみ,182215,258709,17702,―
不燃ごみ,284610993 ,288603319,148126102,94418921,46106793,861866128,,,不燃ごみ,8484,10059,3538,1164
粗大ごみ,1084665233 ,112818211,44890792,38728061,170916304,1452018601,,,粗大ごみ,3916,3747,1072,477
資源物（びん）,268880127 ,0,0,270611704,32244182,571736013,,,資源物（びん）,7244,―,―,7244
資源物（缶）,502063874 ,0,0,258311171,42976468,803351513,,,資源物（缶）,3142,―,―,3142
資源物（ペットボトル）,325734799 ,0,0,135263749,26055680,487054228,,,資源物（ペットボトル）,2995,―,―,2995
有害ごみ,8276007 ,0,0,7270225,878674,16424906,,,有害ごみ,100,―,―,100
全種類※,4157868233 ,6627158548,934373617,804603830,808118210,13332122438,,,全種類※,208096,272515,22312,15121
,,,,,,,,,,,,,
2011,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1606915421 ,6298601599,778859708,0,488016023,9172392751,,,可燃ごみ,180371,256751,24440,―
不燃ごみ,272180251 ,299640129,112636857,145964232,46665293,877086762,,,不燃ごみ,8428,10313,3534,1204
粗大ごみ,1097401380 ,124894253,49854238,64617056,179936391,1516703318,,,粗大ごみ,4218,4056,1564,533
資源物（びん）,247411529 ,0,0,255705851,29567307,532684687,,,資源物（びん）,7222,―,―,7222
資源物（缶）,458275811 ,0,0,248282762,39704854,746263427,,,資源物（缶）,3095,―,―,3095
資源物（ペットボトル）,322787660 ,0,0,145793829,26331800,494913289,,,資源物（ペットボトル）,3216,―,―,3216
有害ごみ,9077328 ,0,0,11143061,510098,20730487,,,有害ごみ,114,―,―,114
合 計※,4014049380 ,6723135980,941350802,871506792,810731765,13360774721,,,合 計,206664,271120,29539,15384
,,,,,,,,,,,,,
2012,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1584172146 ,6197635827,784749775,0,397320056,8963877804,,,可燃ごみ,178939,258656,25980,―
不燃ごみ,273037768 ,288822648,112871867,146404153,38084606,859221042,,,不燃ごみ,7906,8598,3737,1200
粗大ごみ,916850868 ,124263549,33291954,62709779,155730394,1292846544,,,粗大ごみ,3882,3696,1102,514
資源物（びん）,251833540 ,0,0,267252836,25052806,544139182,,,資源物（びん）,7160,―,―,7160
資源物（缶）,462932559 ,0,0,261426145,33596019,757954723,,,資源物（缶）,3033,―,―,3033
資源物（ペットボトル）,321670048 ,0,0,148817341,21821376,492308765,,,資源物（ペットボトル）,3122,―,―,3122
有害ごみ,12599379 ,0,0,6141971,869231,19610581,,,有害ごみ,148,―,―,147
合 計※,3823096308 ,6610722025,930913596,892752225,672474487,12929958641,,,合 計,204191,270950,30819,15176
,,,,,,,,,,,,,
2013,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1602525000 ,5979704392,728177312,0,683397668,8993804373,,,可燃ごみ,176347,256201,20421,―
不燃ごみ,273060235 ,282629507,122086177,159498350,89720254,926994523,,,不燃ごみ,8516,9602,3424,1263
粗大ごみ,867821834 ,122659793,58523122,76781470,159277410,1285063630,,,粗大ごみ,4088,3890,1641,608
資源物（びん）,255597236 ,0,0,306334924,28430460,590362621,,,資源物（びん）,7188,―,―,7188
資源物（缶）,465934194 ,0,0,291255017,37156657,794345867,,,資源物（缶）,3002,―,―,3002
資源物（ペットボトル）,326397569 ,0,0,142637571,23016410,492051551,,,資源物（ペットボトル）,3133,―,―,3133
有害ごみ,7905765 ,0,0,7391212,750651,16047628,,,有害ごみ,100,―,―,100
合 計※,3799241834 ,6384993692,908786611,983898544,1021749512,13098670192,,,合 計,202374,269693,25486,15294
,,,,,,,,,,,,,
2014,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1639137000 ,6123266005,917938542,0,1041555437,9721896985,,,可燃ごみ,165187,245900,18878,―
不燃ごみ,275074873 ,276611861,67093957,113311600,89537828,821630118,,,不燃ごみ,6797,7839,1380,1075
粗大ごみ,867009764 ,128684480,34717610,58581291,152505545,1241498689,,,粗大ごみ,3529,3350,714,556
資源物（びん）,271636623 ,0,0,361140735,30019238,662796596,,,資源物（びん）,7076,―,―,7076
資源物（缶）,483452519 ,0,0,334027310,37139533,854619362,,,資源物（缶）,2866,―,―,2866
資源物（ペットボトル）,338873858 ,0,0,143908220,21933631,504715709,,,資源物（ペットボトル）,3013,―,―,3013
有害ごみ,14169127 ,0,0,10350454,1113967,25633548,,,有害ごみ,142,―,―,142
合 計※,3889353764 ,6528562345,1019750109,1021319610,1373805180,13832791008,,,合 計,188610,257089,20972,14728
,,,,,,,,,,,,,
2015,,,,,,,,,,,,,
,収集運搬 部門費,中間処理 部門費,最終処分 部門費,,,,,,,,,,
,,,,資源化部門費,管理部門費,費用合計,,,,収集運搬量,中間処理投入量,最終処分投入量,資源化投入量
可燃ごみ,1644439150 ,5921937111,927031675,0,918458070,9411866006,,,可燃ごみ,166861,247350,19637,―
不燃ごみ,277003930 ,268909007,56917788,108813423,35314933,746959081,,,不燃ごみ,7139,8241,1206,1070
