ごみ処理に係る経費の実績,,,,,,,,,,,,,,,,,,,種類別ごみ排出量実績,,,,,,,,,,,,,,,,,,,
項  目,,,平成 21,平成 22,平成 23,平成 24,平成 25,平成 26,平成 27,平成 28,平成 29,平成 30,平成 30,令和元,令和２,令和３,令和４,,区  分,,,,年  度,平成 21,平成 22,平成 23,平成 24,平成 25,平成 26,平成 27,平成 28,平成 29,平成 30,平成 30,令和元,令和２,令和３,令和４
収集運搬部門,,千円,2233543 ,2142758 ,2164259 ,2131562 ,2082115 ,2187066 ,2180953 ,2192386 ,2185802 ,2164278 ,2164278 ,2148338 ,2089224 ,2087730 ,2077502 ,,人口,,,,人,"460,035","462,361","462,862","463,511","463,762","464,330","465,699","466,264","466,037","465,323","465,788","464,428","463,254","461,625","459,940"
,人件費,千円,1335422 ,1246142 ,1232499 ,1207453 ,1135096 ,1153587 ,1114407 ,1069954 ,1021413 ,985762 ,985762 ,920694 ,832469 ,792777 ,741408 ,,ごみ総排出量,,,,ｔ,"176,520","173,794","175,835","174,816","175,676","174,654","177,021","173,131","172,827","157,562","157,562","155,761","148,294","147,679","146,993"
,物件費,千円,898121 ,896616 ,931760 ,924109 ,947019 ,1033479 ,1066546 ,1122432 ,1164389 ,1178516 ,1178516 ,1227644 ,1256755 ,1294953 ,1336094 ,,,家庭系ごみ,,,ｔ,"108,417","107,164","107,973","107,886","106,256","104,576","104,141","102,406","102,599","88,741","88,741","89,894","90,928","88,935","86,253"
中間処理部門注１）,,千円,1045858 ,1078609 ,882347 ,904736 ,884511 ,1000965 ,1117734 ,1278365 ,1321693 ,1323850 ,1323850 ,1201353 ,1232379 ,1266497 ,1289950 ,,,,１人１日当たり排出量,,g/人・日,646,635,639,638,628,617,613,602,603,523,522,530,538,528,514
,人件費,千円,513559 ,514276 ,508793 ,494159 ,480809 ,492878 ,505097 ,491403 ,501517 ,501114 ,501114 ,492740 ,505110 ,495757 ,476576 ,,,,燃やすごみ,,ｔ,"82,666","81,086","82,321","85,955","86,180","86,389","86,176","84,813","83,479","69,251","69,251","70,215","71,324","70,139","68,357"
,物件費,千円,532299 ,564333 ,373554 ,410577 ,403702 ,508087 ,612637 ,786962 ,820176 ,822736 ,822736 ,708613 ,727269 ,770740 ,813374 ,,,,,ステーション収集,ｔ,"82,610","81,027","82,253","85,872","86,076","86,280","86,062","84,699","83,355","69,101","69,101","70,079","71,163","69,968","68,185"
最終処分部門注２）,,千円,444133 ,427515 ,440674 ,514611 ,502762 ,495065 ,498024 ,475473 ,485822 ,471605 ,471605 ,463397 ,503232 ,512737 ,534798 ,,,,,直接搬入,ｔ,56,59,68,83,104,109,114,114,124,150,150,136,161,171,172
,人件費,千円,82664 ,73814 ,73447 ,72276 ,68576 ,73481 ,73959 ,71550 ,68612 ,75095 ,75095 ,75258 ,90599 ,91593 ,92908 ,,,,埋立・粗大ごみ,,ｔ,"6,449","6,851","6,999","4,910","4,722","3,813","3,685","3,427","3,971","2,997","2,997","3,057","3,408","3,251","2,996"
,物件費,千円,361469 ,353701 ,367227 ,442335 ,434186 ,421584 ,424065 ,403923 ,417210 ,396510 ,396510 ,388139 ,412633 ,421144 ,441890 ,,,,,埋立ごみ,ｔ,"5,067","5,357","5,536","3,577","3,171","2,430","2,289","2,093","2,602","1,598","1,399","1,400","1,562","1,420","1,334"
資源化部門,,千円,313370 ,288682 ,275085 ,272467 ,250737 ,254925 ,241653 ,244737 ,260808 ,316420 ,316420 ,323064 ,371759 ,350239 ,348031 ,,,,,粗大ごみ・多量ごみ,ｔ,"1,382","1,494","1,463","1,333","1,551","1,383","1,396","1,334","1,369","1,399","1,598","1,657","1,846","1,831","1,662"
